;name;image;appearences;description
451;Bratton;https://static.wikia.nocookie.net/marveldatabase/images/9/95/Bratton_%28Earth-616%29_from_Two-Gun_Kid_Vol_1_22_001.jpg/revision/latest?cb=20210606185858;Two-Gun Kid Vol 1 22;Bratton was a prisoner who died in a fire which Two-Gun Kid witnessed.[249]
452;Braun;https://static.wikia.nocookie.net/marveldatabase/images/f/f9/Braun_%28Earth-616%29_from_Strange_Tales_Vol_1_118_001.png/revision/latest?cb=20220711221155;Strange Tales Vol 1 118;Herr Braun was one of the villagers possessed by Possessors, until they were whisked away by Dr. Strange.[250]
453;Brayle;https://static.wikia.nocookie.net/marveldatabase/images/c/cf/Doctor_Brayle_%28Earth-616%29_from_Deadpool_Vol_4_900_001.png/revision/latest?cb=20160702124849;Deadpool Vol 4 900;Dr. Brayle was a member of Las Vegas C.S.I. who performed an autopsy on Deadpool's body.[251]
454;Brenner;https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Brenner_%28Earth-616%29_from_Marvel_Team-Up_Vol_1_54_001.png/revision/latest?cb=20131212001113;Marvel Premiere Vol 1 31;Captain Brenner was one of Major Del Tremens' men, and was left in charge of Tranquility Base when Tremens led an assault against the Woodgod. He was later tricked into releasing Spider-Man from his restraints when the web-slinger claimed to have taken photographs of Liberty, New Mexico.[252]
455;Brent;https://static.wikia.nocookie.net/marveldatabase/images/d/d0/Brent_%28Earth-616%29_from_Captain_America_Infinity_Comic_Vol_1_2_001.jpg/revision/latest?cb=20210918065611;Captain America Infinity Comic Vol 1 2;Brent was the Bill Travis' second in command n the nationalist terrorist group the Sons of Hancock that had occupied Philadelphia's Independence Hall. Upon request as a gesture of goodwill on Captain America's part, Travis ordered Brent to release the held hostage Park Feds.[253]
456;Brentano;https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Brentano_%28Earth-616%29_from_Marvel_Team-Up_Vol_1_100_001.png/revision/latest?cb=20120517225338;Marvel Team-Up Vol 1 100;"Brentano was ordered by General Nguyen Ngoc Coy to observe and test the children for any sort of paranormal psychic ability; should they lack such talents, his organization would have put them to other profitable uses. He eventually surrender to Spider-Man and the Fantastic Four.[254]"
457;Bresnavich;https://static.wikia.nocookie.net/marveldatabase/images/f/f2/Bresnavich_%28Earth-616%29_from_Incredible_Hulk_Vol_1_176_001.png/revision/latest?cb=20210617021103;Incredible Hulk Vol 1 176;Doctor Bresnavich made sure that the American had escaped.[255]
458;Brett;https://static.wikia.nocookie.net/marveldatabase/images/8/8d/Brett_%28Earth-616%29_from_Wolverine_Switchback_Vol_1_1_001.png/revision/latest?cb=20140524090905;Wolverine: Switchback Vol 1 1;Logan scuffled with Brett to get Sheriff MacReedy's attention in Pottsville.[256]
459;Brett;https://static.wikia.nocookie.net/marveldatabase/images/e/ed/Brett_%28News_Anchor%29_%28Earth-616%29_from_Captain_America_Sam_Wilson_Vol_1_13_001.png/revision/latest?cb=20170514095336;Captain America: Sam Wilson Vol 1 13;CBA News anchor Brett hosted Harry Hauser to talk about Sam Wilson's battle against U.S.Agent.[257]
460;Brewster;https://static.wikia.nocookie.net/marveldatabase/images/9/9e/Brewster_%28Earth-616%29_from_Avengers_Death_Trap%2C_The_Vault_Vol_1_1_001.jpg/revision/latest?cb=20221114220109;Avengers: Death Trap, The Vault Vol 1 1;"Ms. Brewster was the assistant warden at the super-villain prison called The Vault. During the insurrection created by Venom, Brewster called in the Avengers after Director Truman Marsh was taken hostage.[258]
Following Director Marsh's death, Ms. Brewster became the Vault's Project Head and briefed a Justice Department agent on the safety improvements and rehabilitation methods being used at the Vault.[259]"
