;name;image;appearences;description
0;Aali;https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Aali_%28Earth-616%29_from_Savage_Sword_of_Conan_Vol_1_234_0001.png/revision/latest?cb=20130820132747;Savage Sword of Conan Vol 1 234;Aali was one of Conan's camp, who was captured and cooked by a couple of cannibal goblins who lived in the caves of Mount Raktavashi.[1]
1;Abbas;https://static.wikia.nocookie.net/marveldatabase/images/8/87/Abbas_%28Earth-616%29_from_Marvels_Snapshots_Civil_War_Vol_1_1_0001.jpg/revision/latest?cb=20201202225307;Marvels Snapshots: Civil War Vol 1 1;Mrs. Abbas was the mother of Yusef, a boy who developed powers and used them in the service of the Toledo community with the hero name of the Helper.[2]
2;Abbott;https://static.wikia.nocookie.net/marveldatabase/images/a/a5/Abbotts_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_10_001.png/revision/latest?cb=20200128044054;Amazing Spider-Man Vol 1 10;Mr and Mrs. Abbott were May Parker's nextdoor neighbors, who asked her to join them for a week on a trip to Florida after she came out the hospital.[3]
3;Abby;https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Abby_%28Earth-616%29_from_Excalibur_Vol_1_1_001.png/revision/latest?cb=20161205224801;Excalibur Vol 1 1;Abby was Nigel Frobisher's secretary.[4]
4;Abby;https://static.wikia.nocookie.net/marveldatabase/images/1/12/Abby_%28Earth-616%29_from_Thunderbolts_Vol_1_167_0001.jpg/revision/latest?cb=20190217152929;Thunderbolts Vol 1 167;Abby was a prostitute whose body was possessed by the spirit of a Wicca belonging to the ancient Celtic tribe of the Iceni who woke up when Satana arrived in London, convinced that she was the mighty matriarch they had been waiting for and that would guide them.[5]
5;Abby;https://static.wikia.nocookie.net/marveldatabase/images/4/40/Abby_%28Earth-616%29_from_Point_One_Vol_1_1_0001.png/revision/latest?cb=20140807120803;Point One Vol 1 1;Abby was an eccentric painter who worked in large-scale abstracts, usually motion studies and post-figurative imagery.[6]
6;Abdul;https://static.wikia.nocookie.net/marveldatabase/images/a/ac/Abdul_%28Earth-616%29_from_Defenders_Vol_1_11_001.png/revision/latest?cb=20200304064354;Defenders Vol 1 11;Abdul was a Mohammedan who surprised the Defenders inside King Richard's prison.[7]
7;Abdul;https://static.wikia.nocookie.net/marveldatabase/images/2/2e/Abdul_%28Earth-616%29_from_Peter_Parker%2C_The_Spectacular_Spider-Man_Vol_1_88_0001.jpg/revision/latest?cb=20120818152135;Peter Parker, The Spectacular Spider-Man Vol 1 68;While investigating the Robot-Master, Arabian Intelligence agent Abdul ran into Spider-Man.[8]
8;Abe;https://static.wikia.nocookie.net/marveldatabase/images/4/40/Abraham_%28Earth-616%29_from_Thunderbolts_Vol_1_133_001.png/revision/latest?cb=20160425112521;Thunderbolts Vol 1 133;Abe was a homeless person from Cleveland who was protected by Songbird from H.A.M.M.E.R.[9]
9;Abib;https://static.wikia.nocookie.net/marveldatabase/images/b/b9/Abib_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_193_0001.png/revision/latest?cb=20130815214245;Conan the Barbarian Vol 1 193;Abib was a lazy soldier confronted by Kaleb the Destroyer when he came to Bhoraji to organize and prepare the army for Conan's arrival.[10]
10;Abigail;https://static.wikia.nocookie.net/marveldatabase/images/7/77/Abigail_%28Sersi%27s_Roommate%29_%28Earth-616%29_from_Eternals_Vol_3_1_0001.png/revision/latest?cb=20140505114252;Eternals Vol 3 1;"Abigail was a friend of Sersi.[11]
She was told by her about meeting Mark Curry.[12]
Abigail tried to talk with her friend about what happened at the Vorozheikan Embassy.[13]
Her memories were eventually erased by Ikaris.[14]"
11;Abrams;https://static.wikia.nocookie.net/marveldatabase/images/7/74/Abrams_%28Earth-616%29_from_Dazzler_Vol_1_37_0001.jpg/revision/latest?cb=20181130111323;Dazzler Vol 1 37;Abrams was the general manager of the Revenge Inc. who financially helped Diana Simon and her father in exchange for being able to perform experiments on Diana, and because of these experiments Abrams was killed by Diana.[15]
12;Abrams;https://static.wikia.nocookie.net/marveldatabase/images/4/46/Abrams_%28Earth-616%29_from_Iron_Man_Vol_1_230_0001.png/revision/latest?cb=20200131032805;Iron Man Vol 1 230;Dr. Abrams coached Firepower until Edwin Cord convinced Senator Boynton Firepower was capable of concluding his testing without external interference.[16]
13;Ace;https://static.wikia.nocookie.net/marveldatabase/images/f/f1/Ace_%28Earth-616%29_from_Avengers_Vol_1_142_001.png/revision/latest?cb=20200112013159;Avengers Vol 1 142;"Ace was one of the gunmen who assaulted the Pecos train in 1873.[17]
Defeated by the Avengers, Ace eventually told them how to break into Kang's citadel in Tombstone.[18]"
14;Ace;https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Ace_%28Earth-616%29_from_Amazing_Spider-Man_Annual_Vol_1_26_001.jpg/revision/latest?cb=20221115183015;Amazing Spider-Man Annual Vol 1 26;Ace was a member of a gang of techno-thieves who were about to steal millions of dollars worth of ceramic conductor chips arriving at LaGuardia Airport from California, but were surprised by Spider-Man during the theft and captured.[19]
15;Achmed;https://static.wikia.nocookie.net/marveldatabase/images/4/4e/Achmed_%28Earth-616%29_from_Avengers_Annual_Vol_1_22_0001.jpg/revision/latest?cb=20210307032804;Avengers Annual Vol 1 22;When Victoria Bentley was attacked by Achmed to force her to reveal to him how to take possession of the Ebony Blade, Sean Dolan responded to her cries for help and managing to extract the Ebony Blade himself, he turned into Bloodwraith and killed Achmed.[20]
16;Acrallidus;https://static.wikia.nocookie.net/marveldatabase/images/7/7f/Acrallidus_%28Earth-616%29_from_Savage_Sword_of_Conan_Vol_1_218_0001.png/revision/latest?cb=20130705123208;Savage Sword of Conan Vol 1 218;Acrallidus was the city governor of Khauran. He allied with Conan to unmask Baron Sabaninus and uncover his plot to assassinate Taramis.[21]
17;Adamson;https://static.wikia.nocookie.net/marveldatabase/images/b/bb/Adamson_%28Earth-616%29_from_Journey_into_Mystery_Vol_1_503_0001.png/revision/latest?cb=20131002064608;Journey into Mystery Vol 1 503;Adamson was Tso Zhung's personal assistant.[22]
18;Ada;https://static.wikia.nocookie.net/marveldatabase/images/3/37/Ada_%28Earth-616%29_from_Deadly_Neighborhood_Spider-Man_Vol_1_1_001.jpg/revision/latest?cb=20221022085302;Deadly Neighborhood Spider-Man Vol 1 1;Ada was an artist who used the Fibonacci sequence in her paintings to represent reality. When Ada described one of her works to Peter Parker, Peter lit up and thanked Ada and immediately ran off saying that there was something he had to do.[23]
19;Adaobi;https://static.wikia.nocookie.net/marveldatabase/images/8/81/Adaobi_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_80_001.jpg/revision/latest?cb=20220301035404;Amazing Spider-Man Vol 5 80;Adaobi was a Beyond employee working on cleaning the seaweed tanks who was captured by Kraven along with other Beyond employees.[24]
20;Addley;https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Addley_%28Earth-616%29_from_Iron_Man_2.0_Vol_1_4_0001.jpg/revision/latest?cb=20200913160837;Iron Man 2.0 Vol 1 4;In the dossier that Kaylie Doran read about Palmer Addley, there was also an interview with her mother, where she said that he was born when she was 19, that she initially thought he might be autistic, that he had good grades at school but always ended. in trouble, that because of his job and that of her husband he was almost always alone and was very intelligent to the point that at 16 he already knew much more than his parents.[25]
21;Adele;https://static.wikia.nocookie.net/marveldatabase/images/c/cc/Adele_from_Savage_Wolverine_Vol_1_17_0001.jpg/revision/latest?cb=20181210005937;Savage Wolverine Vol 1 17;Adele and her husband Burt welcomed the two surviving sons of his sister Anna to their ranch, accompanied by Logan fleeing two racketeers.[26]
22;Adrian;https://static.wikia.nocookie.net/marveldatabase/images/0/0d/Adrian_%28Earth-616%29_from_Venom_Vol_2_1_0001.jpg/revision/latest?cb=20200705141901;Venom Vol 2 1;During the ethnic cleansing brought by The Bright, the infant Adrian and his mother were brought to safety by Agent Venom.[27]
23;Adrian;https://static.wikia.nocookie.net/marveldatabase/images/4/44/Adrian_%28Earth-616%29_from_mUnited_States_of_Captain_America_Vol_1_1_0001.jpg/revision/latest?cb=20210703105930;United States of Captain America Vol 1 1;Adrian was Aaron Fischer's boyfriend, whom he met in a field where Roxxon held the people forced to work on the construction of the new stadium, and whom Aaron helped free along with the other inmates.[28]
24;Adriana;https://static.wikia.nocookie.net/marveldatabase/images/4/4b/Adriana_%28Spain%29_%28Earth-616%29_from_Daredevil_Vol_2_116_0001.png/revision/latest?cb=20160218020456;Daredevil Vol 2 116;"Adriana was the daughter of Marta, a woman who met and started a relationship with Wilson Fisk when he tried to start a new life in Spain. Fisk became a father figure for Adriana and her brother Jaime, calling him ""Uncle Wheelie"". However, she and the rest of her family were slaughtered by the Hand and Lady Bullseye.[29]"
25;Adrienne;https://static.wikia.nocookie.net/marveldatabase/images/1/11/Adrienne_%28Earth-616%29_from_Ghost_Rider_Vol_3_35_0001.png/revision/latest?cb=20140220204300;Ghost Rider Vol 3 35;Adrienne was a N.Y.U. film school student who filmed Dan Ketch while he was touching his bike.[30]
26;Adrienne;https://static.wikia.nocookie.net/marveldatabase/images/6/6c/Adrienne_%28Earth-616%29_from_King_in_Black_Captain_America_Vol_1_1_0001.jpg/revision/latest?cb=20210305215612;King in Black: Captain America Vol 1 1;Adrienne was a child who found herself in the midst of the onslaught of the Symbiote Dragons along with her cousin Dec and was saved by the intervention of Captain America, Falcon and Winter Soldier.[31]
27;Afan;https://static.wikia.nocookie.net/marveldatabase/images/e/e3/Afan_%28Earth-616%29_from_Punisher_Vol_10_20_0001.jpg/revision/latest?cb=20180724174458;Punisher Vol 10 20;Afan was killed along with all the other members of the Black Dawn Fighters during the assault on their base in Tikrit by the Punisher.[32]
28;Agama;https://static.wikia.nocookie.net/marveldatabase/images/0/09/Agama_%28Earth-616%29_from_X-Men_Vol_1_118_001.png/revision/latest?cb=20201011234033;X-Men Vol 1 118;Agama was one of the guards at Yoshida ancestral manor.[33]
29;Agami;https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Agami_%28Earth-616%29_from_Wolverine_Vol_1_4_0001.png/revision/latest?cb=20140101135200;Wolverine Vol 1 4;Agami was one of Lord Shingen Harada's advisors within Clan Yashida.[34]
30;Agnes;https://static.wikia.nocookie.net/marveldatabase/images/0/05/Agnes_%28Earth-616%29_from_Uncanny_Tales_Vol_1_1_0001.jpg/revision/latest?cb=20190527005033;Uncanny Tales Vol 1 1;Agnes and her sister Laura were visited by Mr. Cotton from the Welfare Bureau after receiving complaints about the smell and filth of the house. He threatened to call an exterminator on the rats and attempted to kill one himself, one named Caesar, who attacked and bit him back. After he killed the rat, the women were distraught and lead him to their clean cellar where they chained up Mr Cotton and fed him to the rest of the rats.[35]
31;Agnes;https://static.wikia.nocookie.net/marveldatabase/images/4/4c/Agnes_%28Earth-616%29_from_Spirits_of_Vengeance_Vol_1_1_001.png/revision/latest?cb=20180812000100;Spirits of Vengeance Vol 1 1;Mentions: Spirits of Vengeance #3
32;Aguinaga;https://static.wikia.nocookie.net/marveldatabase/images/c/c7/Aguinaga_%28Earth-616%29_from_Wolverine_Vol_3_8_0001.jpg/revision/latest?cb=20161119060824;Wolverine Vol 3 8;Aguinaga was an El Paso Border Patrol detective. Together with federal agent Cassie Lathrop, he investigated a series of murders committed on the Mexican border involving the Angelica Rojas' Cartels and investigating an amnesiac Logan.[37]
33;Ahirn;https://static.wikia.nocookie.net/marveldatabase/images/8/80/Ahirn_%28Earth-616%29_from_Conan_the_Adventurer_Vol_1_6_0001.png/revision/latest?cb=20130804182849;Conan the Adventurer Vol 1 6;Mentioned:Conan the Adventurer #7
34;Ahkbar;https://static.wikia.nocookie.net/marveldatabase/images/d/d7/Ahkbar_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_193_0001.png/revision/latest?cb=20130815214709;Conan the Barbarian Vol 1 193;Father of nine, poor farmer Ahkbar was struck and possessed by the Shedu summoned by the Devourer of Souls.[10]
35;Ahmed;https://static.wikia.nocookie.net/marveldatabase/images/6/6d/Ahmed_%28Earth-616%29_from_Silver_Surfer_Vol_6_4_0001.jpg/revision/latest?cb=20201220171253;Silver Surfer Vol 6 4;"Ahmed was an Aqirian soldier; while he was on watch at night, a fellow soldier pointed out that the Moon was changing.[39]"
36;Ahmet;https://static.wikia.nocookie.net/marveldatabase/images/a/a1/Ahmet_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_179_001.png/revision/latest?cb=20110822070929;Conan the Barbarian Vol 1 179;Ahmet plotted to become king and murdered Jamal when he discovered him. After the old prophet's death, he and his guards attacked Conan and Keiv, but the fight was abruptly halted by Imhotep's destruction of the city-state.[40]
37;Ahmet;https://static.wikia.nocookie.net/marveldatabase/images/1/1d/Ahmet_%28Hammerhead%29_%28Earth-616%29_from_Daredevil_vs._Punisher_Vol_1_2_0001.png/revision/latest?cb=20140820083548;Daredevil vs. Punisher Vol 1 2;Mr. Ahmet was killed by the Jackal for leaking information of their movements to the Punisher.[41]
38;Aimes;https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Aimes_%28Earth-616%29_from_Deadpool_Vol_4_41_001.jpg/revision/latest?cb=20211208215706;Deadpool Vol 4 40;"Aimes was the warden of Crossmore prison in England and asked why Deadpool was being held in his prison instead of being sent to the Raft where there was a more congeniable environment for a person of his characteristics.[42]
During an interview with Dr. Whitby, warden Aimes asks her if she will allow all of her patients to walk around in costume as Deadpool.[43]
Aimes intervened during Gerhardt's Cressmoor riot and blamed Deadpool for it. After that he made sure that Gerhardt could be released, not imagining that in reality who was released was in fact Deadpool.[44]"
39;Akan;https://static.wikia.nocookie.net/marveldatabase/images/6/65/Akan_%28Earth-616%29_from_Savage_Sword_of_Conan_Vol_1_215_0001.png/revision/latest?cb=20130703184925;Savage Sword of Conan Vol 1 215;Akan was a warrior of the Ichiribu who first opposed Conan's offer to teach new methods of fighting.[45]
40;Akhmed;https://static.wikia.nocookie.net/marveldatabase/images/3/3f/Akhmed_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_158_0001.png/revision/latest?cb=20130330123539;Conan the Barbarian Vol 1 158;Akhmed was one of Sheik Ali Maksoud's men, who was called to investigate the attack of a werewolf in the tribe's camp.[46]
41;Akio;https://static.wikia.nocookie.net/marveldatabase/images/3/3e/Akio_%28Earth-616%29_from_Uncanny_X-Men_Vol_1_173_0001.png/revision/latest?cb=20140104080140;Uncanny X-Men Vol 1 173;Akio was interrogated in the Ginza district of Tokyo by Wolverine and Rogue about Nabatone Yokuse.[47]
42;Akira;https://static.wikia.nocookie.net/marveldatabase/images/3/3f/Akira_%28Policeman%29_%28Earth-616%29_from_Wolverine_Vol_2_35_001.png/revision/latest?cb=20170610091145;Wolverine Vol 2 35;Akira was an Osaka police officer who was killed by Lady Deathstrike.[48]
43;Akiro;https://static.wikia.nocookie.net/marveldatabase/images/0/04/Akiro_%28Earth-616%29_from_Uncanny_X-Men_Vol_1_181_001.jpg/revision/latest?cb=20181001150451;Uncanny X-Men Vol 1 181;Akiro was one of a group of children who witnessed a dragon appear in the sky, headed to attack Tokyo.[49]
44;Akmit;https://static.wikia.nocookie.net/marveldatabase/images/1/1f/Akmit_%28Earth-616%29_from_Savage_Sword_of_Conan_Vol_1_205_0001.png/revision/latest?cb=20130627061903;Savage Sword of Conan Vol 1 205;Just arrived in the city, Conan stopped by the stables of Akmit, who recognized him as a caravan thief and knocked him down, selling him to a slave trader.[50]
45;Akreon;https://static.wikia.nocookie.net/marveldatabase/images/f/f5/Akreon_%28Earth-616%29_from_Kull_the_Conqueror_Vol_3_2_001.png/revision/latest?cb=20130421143727;Kull the Conqueror Vol 3 2;General Akreon was a born and bred Valusian, who loved civilization and despised Brule's Pictish culture. When he ventured with Kull, Brule and Ethias in southern Verulia looking for the amulet of Ka, he tried to steal the kingdom from Kull. First he murdered Ethias, faking a drowning, then struck Brule, who promptly warned Kull of the betrayal. Akreon was then brutally killed by his own king.[51]
46;Al;https://static.wikia.nocookie.net/marveldatabase/images/0/09/Al_%28Musician%29_%28Earth-616%29_from_X-Men_Vol_1_32_001.png/revision/latest?cb=20200213055914;X-Men Vol 1 32;Al was one of the musicians who performed at the Coffee A Go-Go for Bobby Drake's birthday party.[52]
47;Al;https://static.wikia.nocookie.net/marveldatabase/images/a/a8/Al_%28Earth-616%29_from_Incredible_Hulk_Vol_1_105_0001.png/revision/latest?cb=20200107025013;Incredible Hulk Vol 1 105;Al and Rocky were caught during an attempted car theft by Hulk and Betty Ross. As the Hulk scared off the crooks, he began to change back into Bruce Banner. Taking advantage of this, Rocky took a shot at Bruce and they both fled away.[53]
48;Al;https://static.wikia.nocookie.net/marveldatabase/images/a/a1/Al_from_Doctor_Strange_Vol_1_175_0001.jpg/revision/latest?cb=20181225182732;Doctor Strange Vol 1 175;A short time later, Al was defeated by Clea when his gang assaulted her and Wong.[54]
49;Al;https://static.wikia.nocookie.net/marveldatabase/images/d/de/Al_%28MPDC%29_%28Earth-616%29_from_Avengers_Spotlight_Vol_1_39_0001.jpg/revision/latest?cb=20180610090311;Avengers Spotlight Vol 1 39;An MPDC officer, Al arrested the gang of robbers captured by the Black Knight.[55]
50;Al;https://static.wikia.nocookie.net/marveldatabase/images/5/5f/Big_Al_%28Earth-616%29_from_Spider-Man_Blue_Vol_1_1_001.png/revision/latest?cb=20140322132113;Spider-Man: Blue Vol 1 1;Big Al was the owner of a Motorcycle Shop from which Peter Parker bought a motorcycle. Before buying it, Big Al told Peter that the bike was like a woman, he would never know if he wanted it if he hadn't tried it for a ride first.[56]
51;Al;https://static.wikia.nocookie.net/marveldatabase/images/7/72/Al_%28Devereaux%29_%28Earth-616%29_from_Amazing_Spider-Man_Vol_2_45_001.png/revision/latest?cb=20170204092717;Amazing Spider-Man Vol 2 45;Al was Mr. Devereaux's assistant for Lobster Man: The Movie.[57]
52;Al;https://static.wikia.nocookie.net/marveldatabase/images/2/2f/Al_%28Lawyer%29_%28Earth-616%29_from_Superior_Foes_of_Spider-Man_Vol_1_7_001.png/revision/latest?cb=20161228093156;Superior Foes of Spider-Man Vol 1 7;Al was a former colleague of Janice Lincoln.[58]
53;Alan;https://static.wikia.nocookie.net/marveldatabase/images/6/6a/No_Image_Male.jpg/revision/latest?cb=20101028214136;Hulk Vol 2 40;During the fight between Omegex and Red Hulk, Alan radioed Kent who was in a helicopter asking for updates on what was happening.[59]
54;Albert;https://static.wikia.nocookie.net/marveldatabase/images/1/10/Albert_%28USA%29_%28Earth-616%29_from_Tales_of_Suspense_Vol_1_9_001.png/revision/latest?cb=20200130043326;Tales of Suspense Vol 1 9;Albert and Ethel attended a lecture on yoga given by Chondu the Mystic.[60]
55;Albert;https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Albert_%28Fisherman%29_%28Earth-616%29_from_X-Men_Vol_1_26_0001.png/revision/latest?cb=20200213050037;X-Men Vol 1 26;Albert and Barney spotted Kukulcàn's sphere of solar force moving fast across the night sky.[61]
56;Albert;https://static.wikia.nocookie.net/marveldatabase/images/d/d8/Big_Albert_%28Earth-616%29_from_X-Men_Vol_1_55_001.png/revision/latest?cb=20200214033715;X-Men Vol 1 55;Big Albert was a member of the Grady Gang, who was defeated by the Avenging Angel.[62]
57;Albert;https://static.wikia.nocookie.net/marveldatabase/images/f/f9/Albert_from_Spider-Man_Unlimited_Vol_1_5_0001.jpg/revision/latest?cb=20181225183708;Spider-Man Unlimited Vol 1 5;Albert was a thug who confronted Tony MacDonald at the Eastside High School and sparked a random shooting.[63]
58;Albert;https://static.wikia.nocookie.net/marveldatabase/images/8/80/Albert_%28Earth-616%29_from_Incredible_Hulk_Vol_1_428_0001.jpg/revision/latest?cb=20190811101243;Incredible Hulk Vol 1 427;"Albert was an old serial killer who lived in the Everglades marshes. Entering the town of Sunville, Albert approached the young Billy Templeton and with an excuse kidnapped him, killed him and threw the body into the marshes. Blaming himself for his brother's disappearance, Skip went into the swamp to his research and was accidentally saved by Albert himself from the drowning, then took him to his home and there Skip discovered that Albert was guilty of his brother's disappearance and given the situation Albert he also held prisoner.[64]
Later, when Hulk set out to find the Templeton brothers, he found the culprit but Albert barked out that he did it to save them the children by handing them to God and taking them away from their families. Immediately after Albert managed to escape from the Hulk when there was Man-Thing's intervention and in the meantime trying to free himself, Skip set fire to Albert's house. Albert ran into the house and rescued Skip from the fire and took him to a boat where Skip tried to break free and both crashed into the water and there Albert was killed by an alligator.[65]"
59;Albert;https://static.wikia.nocookie.net/marveldatabase/images/6/69/Albert_%28Earth-616%29_from_Marvel_Team-Up_Vol_2_5_0001.jpg/revision/latest?cb=20190827140549;Marvel Team-Up Vol 2 5;Albert was a federal agent and took Tito Mendez into their ranks even though he suspected that Tito's father had asked for his son to be integrated into the Federal Intelligence ranks as a move to infiltrate one of his men but Tito's father reassured him that he had done to keep him away from his work.[66]
60;Albert;https://static.wikia.nocookie.net/marveldatabase/images/6/67/Albert_%28Koenig%29_%28Earth-616%29_from_Secret_Warriors_Vol_1_28_0001.png/revision/latest?cb=20160209024355;Secret Warriors Vol 1 28;Albert allowed Nick Fury to visit Valentina Allegra de Fontaine inside the BND offices in Berlin. Fontaine commented how much Albert resembled Eric Koenig asking if he was his son, but Fury clarified that it was in fact Albert.[67]
61;Albert;https://static.wikia.nocookie.net/marveldatabase/images/2/28/Albert_%28Andru_Correctional_Facility%29_%28Earth-616%29_from_Amazing_Spider-Man_Vol_4_4_001.jpg/revision/latest?cb=20151213001551;Amazing Spider-Man Vol 4 4;Albert was a security guard at the Andru Correctional Facility.[68]
62;Albescu;https://static.wikia.nocookie.net/marveldatabase/images/d/d7/Albescu_%28Earth-616%29_from_Black_Panther_The_Man_Without_Fear_Vol_1_516_0001.jpg/revision/latest?cb=20200725145254;Black Panther: The Man Without Fear Vol 1 516;Albescu was a man in the Vlad Dinu crime family. Vlad ordered Albescu to create chaos in Hell's Kitchen but Black Panther learned about it and tried to force him to leave the city and after failing to convince him, threw him in a moving truck.[69]
63;Alby;https://static.wikia.nocookie.net/marveldatabase/images/6/60/Alby_%28Earth-616%29_from_Monsters_Unleashed_Vol_1_5_001.png/revision/latest?cb=20170502080643;Monsters Unleashed Vol 1 5;Alby noticed Ellen Brandt coming back from the swamp.[70]
64;Aldo;https://static.wikia.nocookie.net/marveldatabase/images/1/1d/Aldo_%28Earth-616%29_from_Conan_the_Barbarian_Vol_1_174_0001.png/revision/latest?cb=20130718110603;Conan the Barbarian Vol 1 174;General Aldo was little more than a Zingaran figurehead. Aldo was killed by Marshall Barabbus when he refused to sign the official decree for Santiar's execution.[71]
65;Aldo;https://static.wikia.nocookie.net/marveldatabase/images/5/50/Aldo_%28Lizard%29_%28Earth-616%29_from_Spectacular_Spider-Man_Vol_1_238_0001.png/revision/latest?cb=20130929092655;Spectacular Spider-Man Vol 1 238;Aldo was a young and dedicated lab assistant hired by Dr. Connors to remove any last trace of the Lizard's evil persona from his physiology. While experimenting with Connors' own DNA, Aldo inadvertently created the Lizard creature.[72]
66;Aldo;https://static.wikia.nocookie.net/marveldatabase/images/3/3e/Aldo_%28Earth-616%29_from_Daken_Dark_Wolverine_Vol_1_7_0001.jpg/revision/latest?cb=20200714191219;Daken: Dark Wolverine Vol 1 7;Aldo was one of the Madripoor crime bosses. After Tyger Tiger had Madripoor's crime bosses confronted to select who would work for her, he was the first to be killed by Kobus Van Holten who stabbed him from behind.[73]
67;Alec;https://static.wikia.nocookie.net/marveldatabase/images/2/25/Alec_%28Earth-616%29_from_Captain_Britain_Vol_1_6_0001.png/revision/latest?cb=20130219222512;Captain Britain Vol 1 6;Alec was ordered to alert the fire brigade and get a security team over the north end of the field of the London Heathrow Airport, following an explosion caused by the battle between Hurricane and Captain Britain.[74]
68;Alec;https://static.wikia.nocookie.net/marveldatabase/images/5/5d/Alec_%28Exchange%29_%28Earth-616%29_from_Punisher_Vol_9_6_0001.png/revision/latest?cb=20140707070828;Punisher Vol 9 6;A member of Exchange, Alec was killed by the Punisher in North Creek.[75]
69;Alejo;https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Alejo_%28Earth-616%29_from_All-New_Ghost_Rider_Vol_1_5_001.png/revision/latest?cb=20160926231006;All-New Ghost Rider Vol 1 5;Alejo was one of Robbie Reyes' coworkers at Canelo's Auto and Body.[76]
70;Aleshia;https://static.wikia.nocookie.net/marveldatabase/images/e/e6/Aleshia_%28Earth-616%29_from_Amazing_Spider-Man_Vol_1_416_0001.png/revision/latest?cb=20210414043301;Amazing Spider-Man Vol 1 416;Aleshia defended the mutants from Kadril's accusations of killing Captain America during Onslaught.[77]
71;Alex;https://static.wikia.nocookie.net/marveldatabase/images/f/ff/Alex_%28Earth-616%29_from_Fantastic_Four_Vol_1_566_0001.png/revision/latest?cb=20140605222304;Fantastic Four Vol 1 566;Alex interviewed Debbie Green's ex-fiancee Jason live on television.[78]
72;Alex;https://static.wikia.nocookie.net/marveldatabase/images/7/78/Alex_%28Earth-616%29_from_Captain_Marvel_Vol_1_55_001.png/revision/latest?cb=20191031180644;Captain Marvel Vol 1 55;Alex was a journalist that worked for the Denver Post and reported on Captain Marvel getting a job at the local Observatory.[79]
73;Alex;https://static.wikia.nocookie.net/marveldatabase/images/9/96/Alex_%28Earth-616%29_from_King_in_Black_Planet_of_the_Symbiotes_Vol_1_2_001.jpg/revision/latest?cb=20210219221900;King in Black: Planet of the Symbiotes Vol 1 2;During the symbiote assault on New York, he opposed the indications given by Hobie Brown by offending him by telling him that he was an important person and did not need his directives while the assault of the symbionts hit him firsthand becoming one of the people possessed by they.[80]
74;Alex;https://static.wikia.nocookie.net/marveldatabase/images/3/35/Alex_%28Earth-616%29_from_Hawkeye_Kate_Bishop_Vol_1_2_001.jpg/revision/latest?cb=20211225193140;Hawkeye: Kate Bishop Vol 1 2;Alex was a guest man of the Resort Chapiteau and there he was put under mind control with a bracelet. In this way he was forced to kidnap a child, but Kate Bishop identified the place where the child was being held captive and freed her, also freeing Alex by destroying the bracelet that controlled him, and returned the child to her parents.[81]
75;Alexa;https://static.wikia.nocookie.net/marveldatabase/images/e/ec/Alexa_%28Earth-616%29_from_Amazing_Fantasy_Vol_3_1_0001.jpg/revision/latest?cb=20210729181258;Amazing Fantasy Vol 3 1;Alexa was a trainer with the Black Widow Ops Program. After Natasha easily defeated older Daria in a training fight, Alexa allowed her to go take a shower. He pretended to help Natasha escape the center to test her loyalty.[82]
76;Alexei;https://static.wikia.nocookie.net/marveldatabase/images/1/19/Alexei_%28Earth-616%29_from_X-Men_Liberators_Vol_1_2_0001.png/revision/latest?cb=20140702173343;X-Men: Liberators Vol 1 2;"Alexei was a government bureaucrat who came from Moscow to evaluate Province 13's usefulness.[83]
After visiting the facility, he decided to close it.[84]
Alexei eventually gave the order to delete every memory and record of Province 13.[85]"
77;Alexi;https://static.wikia.nocookie.net/marveldatabase/images/f/f9/Alexi_%28Earth-616%29_from_Incredible_Hulk_Vol_1_106_0001.png/revision/latest?cb=20200107030326;Incredible Hulk Vol 1 106;"Alexi pushed Colonel Yuri Brevlov to destroy the Hulk at all costs.[86]
He even urged Brevlov to use the Uni-Disintegrator against him, despite possibly harming an innocent child whom the Green Goliath was protecting.[87]"
78;Alexi;https://static.wikia.nocookie.net/marveldatabase/images/f/f4/Alexi_%28Earth-616%29_from_Captain_America_Vol_1_617_0001.png/revision/latest?cb=20200927092721;Captain America Vol 1 617;"Alexi was a former KGB agent who had been trained by the Winter Soldier. Many years later, Alexi reunited with Barnes in the gulag where he had been imprisoned and advised him by showing him the opponent he would have to face in the match that was being organized in the gulag.[88]
Alexi was later discovered to belong to the conspiracy that had Barnes extradited to Russia and imprisoned in Siberia.[89]"
79;Alf;https://static.wikia.nocookie.net/marveldatabase/images/2/23/Alf_%28Steyr%29_%28Earth-616%29_from_Marvel_Team-Up_Vol_1_136_001.png/revision/latest?cb=20161204085243;Marvel Team-Up Vol 1 136;Alf was one of the Steyr Security Systems researchers who worked with Wonder Man.[90]
